SSN,Public,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,As,Se,Br,Rb,Sr,Y,Zr,Mo,Ba,La,Ce,Pr,Nd,Sm,Hf,Ta,W,Hg,Pb,Bi,Th
icr024994,True,19302.4,5575.0,27278.9,50.6,45.7,32.3,27536.9,1239.1,4.4,1065.3,2.5,32.1,153.5,6003.3,0.7,7.4,3.7,8.5,5.7,0.3,881.7,0.2,78.5,35.0,54.7,24.7,184.5,3369.8,375.2,74.8,1.9,25.7,2.8,6.1,0.2,1.2,0.2,27.0,0.1,19.9
icr024995,True,18079.9,5575.0,35996.7,50.6,45.7,49.5,28764.1,825.0,4.4,1268.1,3.3,32.7,122.0,8567.4,0.7,10.5,5.6,10.4,7.8,0.3,883.7,0.2,89.8,32.8,27.9,24.7,184.5,3308.8,340.6,50.3,1.8,16.8,4.8,4.6,0.9,1.4,0.2,27.4,0.1,28.8
icr025009,True,23014.6,5575.0,21122.7,50.6,45.7,276.4,20244.7,1639.7,4.4,931.3,6.5,16.1,113.7,4347.9,0.7,3.3,4.0,7.4,4.5,0.3,881.7,0.2,44.1,75.7,2.2,24.7,184.5,3718.8,101.7,2.2,0.9,1.1,2.1,2.7,0.7,0.2,0.2,12.8,0.1,2.1
icr025010,True,22366.9,5575.0,20166.1,50.6,45.7,118.8,21115.1,1953.4,4.4,875.6,5.3,14.8,114.6,3718.5,0.7,2.9,3.2,5.4,4.5,0.3,879.1,0.2,46.4,85.1,2.1,24.7,184.5,3900.5,100.2,1.7,1.0,1.2,1.3,2.5,0.7,0.2,0.2,11.8,0.1,0.9
icr025016,True,24791.2,5575.0,11338.2,50.6,45.7,75.7,3750.8,684.2,4.4,516.6,4.1,14.8,35.3,3352.2,0.7,8.2,4.2,4.7,2.4,0.3,883.7,0.3,16.1,12.7,31.8,24.7,184.5,730.5,69.0,6.1,0.7,2.0,0.9,1.8,0.1,0.3,0.2,5.7,0.1,2.3
icr025017,True,21367.2,4720.1,13003.7,50.6,45.7,60.4,3394.8,398.3,4.4,579.9,4.2,18.6,19.8,3974.6,0.7,7.6,4.7,5.6,3.0,2.2,886.3,0.5,16.6,9.4,4.4,24.7,184.5,721.6,97.5,6.6,0.7,2.1,2.3,0.9,0.3,0.2,0.1,0.4,0.8,2.6
icr025036,True,23140.6,5575.0,17607.7,50.6,45.7,127.3,22668.8,910.4,4.4,842.7,1.7,16.1,158.9,2737.3,0.7,3.5,3.5,6.3,3.8,0.3,886.9,0.2,56.5,41.0,8.0,24.7,184.5,2532.6,90.7,5.2,0.7,2.4,0.9,2.9,0.1,0.2,0.2,14.6,0.1,1.5
icr025037,True,22203.0,5575.0,16868.9,50.6,45.7,116.0,21434.5,611.9,4.4,852.8,2.1,15.8,133.3,2581.3,0.7,3.7,3.0,5.4,3.4,0.3,879.8,0.2,53.3,35.5,8.2,24.7,184.5,2354.0,96.6,10.7,0.7,3.1,1.3,2.7,0.2,0.3,0.2,14.1,0.1,3.1
icr025055,True,21180.6,5575.0,17963.1,50.6,45.7,249.6,25866.4,595.2,4.4,1294.3,1.4,9.8,148.0,2892.7,0.7,1.6,2.8,6.7,3.5,0.3,886.3,0.2,70.9,27.3,10.3,24.7,184.5,2443.5,198.1,34.3,0.8,11.4,1.4,5.9,0.5,0.4,0.2,18.7,0.1,9.2
icr025056,True,21408.4,5575.0,18717.6,50.6,45.7,203.2,25738.6,330.3,4.4,1432.7,1.5,10.5,117.6,3336.9,0.7,1.9,1.9,6.3,3.7,0.3,881.1,0.2,72.1,25.2,14.4,24.7,184.5,2487.3,217.8,39.5,0.9,12.4,0.9,6.4,0.5,0.3,0.2,20.1,0.1,11.3
icr025074,True,21726.2,5575.0,21346.1,50.6,45.7,68.0,26786.1,1644.9,4.4,1214.9,17.6,47.1,250.5,6544.8,0.7,8.7,6.0,6.9,5.5,0.3,883.7,0.2,66.4,64.6,3.4,24.7,184.5,3085.8,209.4,17.7,0.7,7.0,1.7,3.4,1.1,0.7,0.2,13.5,0.1,5.5
icr025075,True,22535.1,5575.0,28425.4,50.6,45.7,125.8,25137.2,971.9,4.4,1377.2,14.0,74.9,214.8,10427.5,6.8,13.7,8.6,9.3,6.7,0.3,886.9,0.3,66.6,54.0,3.8,24.7,184.5,3995.9,263.7,8.3,0.8,2.6,7.6,3.2,1.4,1.1,0.2,14.3,0.1,9.6
icr025092,True,21799.0,5575.0,21078.7,50.6,45.7,111.3,26000.1,1284.0,4.4,923.3,5.1,20.5,97.7,3101.8,1.6,3.4,2.3,5.6,4.2,0.3,886.3,0.2,47.1,84.2,4.7,24.7,184.5,5098.7,101.0,5.6,1.3,3.3,1.0,5.9,0.6,0.2,0.2,8.0,0.1,2.3
icr025093,True,23571.7,5575.0,22299.3,50.6,45.7,104.0,25248.1,1128.0,4.4,1037.3,5.9,24.7,88.3,3894.8,1.7,4.5,2.3,6.4,4.7,0.3,884.3,0.2,50.5,83.7,4.9,24.7,184.5,4973.5,113.2,5.5,0.7,3.3,1.2,6.0,0.6,0.2,0.2,8.6,0.1,2.1
icr025111,True,22499.7,5575.0,20480.5,50.6,45.7,146.6,20120.2,2574.9,4.4,978.4,5.9,16.9,100.6,3703.2,1.4,2.5,3.7,7.1,4.4,0.3,884.3,0.2,36.4,82.9,7.1,24.7,184.5,4128.4,131.5,9.2,0.8,5.4,1.6,6.9,0.4,0.2,0.2,8.3,0.1,7.8
icr025112,True,23283.6,5575.0,21132.1,50.6,45.7,135.5,17106.5,1900.9,4.4,989.2,5.6,15.9,77.7,4624.2,0.7,3.3,3.1,7.8,4.8,0.3,884.3,0.2,34.6,71.8,6.3,24.7,184.5,3333.6,148.7,9.5,0.8,4.0,2.3,5.6,0.8,0.2,0.2,5.0,0.2,3.3
icr025135,True,19942.7,5575.0,32893.3,50.6,45.7,61.1,50827.0,1654.1,4.4,371.7,3.8,8.2,140.6,2330.8,0.7,2.2,1.9,5.4,6.9,0.3,887.6,0.2,152.2,39.4,7.3,24.7,184.5,3465.5,68.7,5.4,2.2,1.5,1.0,1.3,0.3,0.5,0.2,28.3,0.1,2.1
icr025136,True,22934.9,5575.0,36986.5,50.6,45.7,103.6,55989.9,1948.2,4.4,420.3,3.7,10.5,135.7,2657.0,0.7,2.6,1.7,5.6,7.7,0.3,883.0,0.2,170.9,46.2,7.1,24.7,184.5,3918.1,74.3,6.4,2.6,2.1,0.8,1.5,0.5,0.7,0.2,33.1,0.1,3.0
icr030024,True,12763.3,5575.0,54567.8,577.9,47.4,104.3,4791.8,7846.8,10.8,18574.3,151.6,135.8,1660.1,94356.8,1.2,71.4,29.7,68.9,13.7,0.3,881.7,14.4,119.2,117.8,26.8,532.2,184.5,278.5,4844.4,264.4,0.7,49.0,69.6,0.5,6.7,0.2,3.9,153.3,24.8,258.8
icr030025,True,11438.3,5575.0,65507.1,552.1,45.7,114.2,4260.1,4228.4,7.2,20607.5,85.7,155.4,2070.7,105707.3,61.6,71.0,36.9,74.5,15.2,0.3,883.7,16.6,133.5,94.9,35.2,557.7,184.5,10565.2,3873.5,106.5,0.7,6.2,72.7,1.4,4.2,0.2,0.6,266.9,32.7,246.6
icr030043,True,14144.8,5575.0,58029.3,1163.0,75.1,81.7,6757.0,11879.1,7.4,13045.0,13.9,103.1,2084.9,72361.0,32.0,40.7,23.1,61.5,14.2,0.3,882.4,16.3,114.1,116.5,82.3,369.5,184.5,8363.6,2708.2,74.3,0.7,1.3,68.7,2.0,3.5,0.2,6.5,149.4,14.1,137.4
icr030044,True,14118.0,5575.0,55995.0,616.9,46.7,45.5,5602.5,5123.3,4.4,14020.8,23.3,107.9,2174.8,80276.2,37.2,45.3,23.6,63.5,15.6,0.3,885.6,18.9,127.0,77.6,82.7,429.7,197.3,8802.1,3031.0,92.3,0.7,1.3,74.7,2.7,4.2,0.2,1.1,186.1,17.6,168.0
icr030063,True,13484.7,5575.0,37099.1,1650.7,83.8,102.6,6684.3,18326.4,6.7,15989.2,15.1,103.1,1476.6,68787.4,34.1,38.0,27.5,90.8,10.7,0.3,885.6,9.3,90.3,203.5,34.9,343.2,184.5,8344.1,2418.5,66.4,0.7,7.1,59.6,0.5,4.0,0.2,11.4,109.7,18.1,121.4
icr030064,True,12296.0,5575.0,48011.4,1279.7,45.7,82.3,6035.4,12108.7,4.4,18712.1,18.4,106.7,1636.5,81104.0,35.9,46.7,28.8,85.2,11.5,0.3,885.6,10.2,107.9,185.9,37.3,447.5,187.8,9396.4,3038.8,86.9,0.7,8.8,71.3,1.5,5.2,0.2,7.6,165.5,25.3,166.5
icr030083,True,14704.6,5575.0,58107.8,807.1,84.0,74.2,5067.4,11240.4,4.4,16685.5,17.3,102.8,2051.1,83850.8,37.8,47.3,23.3,63.1,17.7,0.3,883.0,16.2,129.9,140.0,105.4,453.3,184.5,8838.2,3278.4,113.7,0.7,1.3,77.2,3.0,3.6,0.2,6.7,210.0,23.1,185.4
icr030084,True,14058.3,5575.0,59371.1,593.8,45.7,29.7,4526.8,6516.6,4.4,16850.4,21.8,95.9,1994.7,87278.6,39.9,49.8,23.2,61.9,18.9,0.3,880.4,15.8,130.7,116.8,90.5,486.5,184.5,9101.7,3343.1,115.8,0.7,1.3,78.1,3.5,4.4,0.2,2.3,222.6,23.9,195.8
icr030103,True,19202.2,17004.3,45728.1,73.2,45.7,107.9,19903.1,22162.0,4.2,3128.6,34.2,85.4,676.8,33188.2,15.1,20.6,20.7,49.5,13.9,0.3,884.3,3.0,70.0,345.8,13.0,24.7,184.5,5062.9,882.3,12.4,0.8,1.6,30.5,0.2,2.5,0.5,6.7,11.6,0.1,26.6
icr030104,True,18284.4,16754.5,45659.5,71.2,45.7,99.4,21114.8,20895.4,4.4,2999.0,35.0,87.4,634.4,33889.6,17.4,19.5,21.1,51.9,14.7,0.3,883.7,3.9,75.9,358.3,12.1,24.7,184.5,5095.3,913.7,12.9,0.9,1.7,32.8,0.2,2.8,0.5,6.1,12.2,0.1,27.3
icr030123,True,22353.3,5575.0,46581.5,50.6,45.7,100.2,28133.9,4405.9,4.4,2053.8,9.3,30.2,447.9,20895.5,9.5,7.6,10.0,25.5,10.4,0.3,883.0,4.1,76.5,99.4,10.5,24.7,184.5,5666.9,605.4,13.4,1.2,5.0,20.6,1.2,3.1,1.5,0.2,13.0,0.1,7.7
icr030124,True,20672.9,5575.0,47434.0,50.6,45.7,79.1,26561.5,4096.9,4.4,2197.0,9.8,33.4,469.9,23036.2,10.6,8.3,10.8,27.3,11.5,0.3,880.4,4.0,80.0,101.5,10.8,24.7,184.5,5914.9,659.2,13.1,1.3,6.2,23.1,1.0,2.8,1.5,0.2,13.5,0.1,9.1
icr030143,True,16984.5,5575.0,35304.8,437.3,45.7,80.5,8205.0,5204.9,5.3,9103.9,38.6,56.6,1555.6,52853.5,19.1,8.7,13.4,58.8,9.0,0.3,884.3,7.1,64.4,59.5,29.8,168.9,184.5,7558.3,1810.2,44.6,0.8,9.6,52.8,1.5,6.2,0.2,1.0,68.5,6.9,77.3
icr030144,True,13973.1,5575.0,41979.1,231.0,45.7,66.5,8725.7,3739.1,4.4,8803.3,42.0,47.3,1512.1,55973.2,20.4,11.1,14.7,62.7,10.4,0.3,879.1,6.4,72.4,51.0,34.0,201.9,184.5,7471.7,1956.3,50.6,0.7,14.5,57.3,2.1,6.7,0.2,0.2,81.7,6.4,86.5
icr030163,True,14823.0,5575.0,39123.4,398.6,45.7,45.8,5409.3,8653.6,5.3,11388.9,9.9,123.7,1572.0,47671.4,18.8,26.2,21.1,42.7,11.1,0.3,883.7,0.2,64.9,86.1,42.0,210.4,184.5,6909.2,1674.4,47.0,0.7,1.3,41.5,1.9,3.9,0.2,1.7,57.6,8.2,58.2
icr030164,True,12472.1,5575.0,46828.8,161.7,45.7,23.1,4840.7,8052.2,7.1,10609.0,12.0,118.2,1595.5,59546.4,26.6,31.1,21.0,46.0,13.2,0.3,883.0,0.2,77.8,76.5,33.0,246.6,184.5,6746.8,2028.7,49.3,0.7,6.3,56.9,1.7,4.6,0.2,1.8,96.2,8.7,89.8
icr030183,True,16469.7,6858.8,48298.7,169.5,45.7,90.7,19253.7,23897.0,4.1,3399.3,52.4,46.7,860.8,39628.4,15.4,10.2,40.1,47.2,11.8,0.3,883.0,0.2,72.4,279.3,16.2,28.4,184.5,6354.3,1094.9,16.9,1.2,2.4,38.7,0.2,2.0,1.2,8.7,54.4,0.1,36.5
icr030184,True,17742.0,9699.7,49790.4,255.5,45.7,120.5,19841.1,25597.2,4.4,3567.1,56.8,39.1,953.8,41913.9,16.4,10.6,42.9,51.5,12.5,0.3,881.1,0.2,73.6,299.2,16.7,29.0,184.5,6647.5,1134.5,16.8,1.4,2.6,42.8,0.2,1.7,1.0,8.9,54.0,0.1,37.1
icr030200,True,12381.6,5575.0,65808.1,397.3,45.7,68.4,5875.6,4794.6,4.4,10959.6,61.6,129.9,1461.6,75097.7,40.1,61.6,26.9,43.7,19.2,0.3,888.9,23.1,112.5,52.1,71.2,369.6,184.5,7329.0,2705.9,79.2,0.7,1.3,21.3,2.1,2.9,0.2,0.4,165.2,10.4,139.5
icr030201,True,15534.5,5575.0,62190.7,581.0,98.8,87.7,5982.7,10129.1,6.8,10553.0,53.3,115.6,1572.4,70659.0,34.2,57.0,26.5,43.6,19.0,0.3,888.2,20.9,106.5,87.1,77.2,355.3,184.5,7219.4,2539.0,72.9,0.7,1.3,40.5,1.6,2.6,0.2,4.3,142.7,9.2,123.1
icr030218,True,17306.3,5575.0,47597.3,82.8,45.7,109.9,24099.1,6342.7,4.4,5002.8,33.6,63.0,729.3,37822.4,16.2,21.0,19.7,26.0,11.6,0.3,883.7,5.3,98.5,81.0,25.7,61.5,184.5,5459.1,1176.6,29.3,0.9,8.3,38.0,1.5,3.4,3.7,0.3,34.8,0.2,34.8
icr030219,True,15136.8,5575.0,58248.5,68.2,45.7,55.4,23684.9,5328.0,4.5,5519.5,40.4,64.8,836.5,46178.4,18.3,26.0,23.7,30.1,13.0,0.3,885.0,2.1,114.9,75.4,23.6,87.1,184.5,5995.5,1441.6,39.6,0.7,7.6,46.8,1.6,4.8,4.5,0.2,57.9,0.5,53.9
icr030238,True,14046.4,5575.0,57036.0,397.9,45.7,71.6,5966.2,9833.4,4.4,8089.1,38.6,161.3,1606.1,56515.1,25.8,64.6,30.5,34.7,16.7,0.3,886.9,12.6,97.7,70.9,76.7,266.8,184.5,6092.7,2122.8,74.7,0.7,1.3,49.0,2.3,2.3,0.2,4.0,117.4,5.1,89.8
icr030239,True,13305.7,5575.0,65396.2,286.0,45.7,57.6,5833.4,5292.8,5.2,8675.1,42.3,147.9,1653.7,62078.6,27.7,73.5,32.5,34.2,18.1,0.3,883.0,13.8,101.8,49.9,72.3,276.6,184.5,6440.7,2292.6,84.7,0.7,1.3,56.1,2.8,2.9,0.2,0.5,133.9,5.7,96.8
icr030258,True,24474.7,5575.0,38358.2,50.6,45.7,38.6,26311.9,6140.9,4.4,1446.6,18.3,11.2,306.2,14321.0,0.7,7.8,7.0,15.9,9.1,0.3,877.8,2.4,51.8,120.0,7.7,24.7,184.5,4194.1,485.9,56.3,1.6,10.7,8.7,0.4,2.8,1.2,0.2,8.4,0.1,3.9
icr030259,True,28261.6,5575.0,41418.9,50.6,45.7,69.0,33953.2,5548.1,4.4,1059.0,5.6,14.1,255.9,12391.4,8.0,5.7,5.1,14.5,11.4,0.3,880.4,2.3,61.0,133.5,6.6,24.7,184.5,6986.1,344.0,15.3,1.1,4.5,11.5,0.9,1.7,1.6,0.2,7.9,0.1,1.7
icr030276,True,16945.3,5958.8,49291.1,234.9,45.7,340.8,9482.1,33510.4,12.7,4836.2,84.7,24.4,1106.9,56760.7,27.9,4.3,45.4,56.0,13.3,0.3,883.7,0.2,57.8,373.3,18.1,105.4,184.5,4028.7,1641.9,56.3,0.8,8.7,0.9,0.2,2.8,0.2,17.2,56.9,1.0,86.1
icr030277,True,14136.0,5894.7,49115.6,231.6,45.7,329.9,10379.7,26931.2,4.4,4559.8,80.5,24.4,1041.2,54968.8,25.9,4.9,49.1,57.5,12.3,0.3,882.4,0.2,60.9,308.8,14.5,103.1,184.5,3930.1,1618.7,52.0,0.9,7.9,0.9,0.2,3.1,0.2,13.3,59.2,1.0,87.2
icr030296,True,16940.9,5575.0,39811.4,436.4,45.7,85.1,13029.8,15532.0,4.4,3510.1,21.1,39.8,1090.7,30537.5,17.8,14.7,19.9,30.6,10.6,0.3,882.4,4.7,50.9,248.0,14.9,24.7,184.5,5115.5,971.9,44.9,1.1,12.9,26.9,0.2,2.6,0.2,4.4,10.9,0.1,26.2
icr030297,True,16270.2,5575.0,44853.6,272.4,45.7,65.5,13262.6,14516.6,4.4,3842.0,26.3,52.2,1098.0,35173.9,20.1,17.7,22.1,30.9,12.2,0.3,883.7,3.8,57.7,265.4,19.4,34.7,184.5,5302.8,1145.6,52.8,1.2,13.4,31.9,0.6,3.0,0.3,4.1,18.5,0.1,33.7
icr030316,True,17513.8,16236.8,48136.3,250.0,45.7,227.6,24399.0,27520.6,4.4,4017.2,63.3,47.3,761.5,43304.5,22.6,10.5,60.1,56.1,12.1,0.3,883.0,0.2,93.1,284.9,16.9,53.4,184.5,4714.7,1272.8,48.9,0.9,6.8,40.9,0.2,2.0,3.2,8.8,33.6,0.1,51.0
icr030317,True,14106.4,21908.6,47533.0,221.5,45.7,162.5,23489.1,29676.4,5.0,3719.4,69.2,47.9,650.8,44280.7,23.1,12.0,56.4,58.5,12.3,0.3,883.7,0.2,95.5,274.3,14.6,41.0,184.5,4200.2,1263.8,47.9,0.9,6.9,26.0,0.2,1.8,2.7,9.5,35.0,0.1,51.9
icr030335,True,12890.8,9376.8,30783.2,195.3,127.0,71.7,15612.2,84904.7,44.6,3328.3,57.5,92.3,623.8,29280.0,0.9,67.4,21.6,50.4,9.8,0.3,885.0,6.0,61.3,103.4,15.8,24.7,184.5,864.0,779.8,57.5,0.7,23.4,12.0,0.2,0.7,0.2,28.6,31.5,0.1,20.3
icr030336,True,10583.7,11575.8,38268.4,651.8,129.3,48.1,16624.1,86598.8,4.4,3487.2,30.9,121.9,728.4,31668.9,51.3,63.4,25.0,52.9,9.4,0.3,882.4,17.4,62.9,106.2,19.0,24.7,184.5,3267.3,536.1,13.9,0.7,1.3,19.8,0.2,0.1,0.2,31.6,34.2,0.1,17.7
icr030352,True,16286.5,5616.5,24501.1,1421.7,57.2,142.4,10196.3,203698.1,7.2,2832.9,28.3,95.1,436.4,20232.4,88.6,64.7,14.0,29.7,7.2,0.3,881.7,13.6,37.2,124.3,15.9,38.3,1130.7,1415.2,60.1,11.7,0.7,1.3,10.2,0.2,0.1,0.2,49.8,18.1,0.2,4.3
icr030353,True,15523.0,5575.0,25233.4,1663.8,138.0,36.5,9536.9,231705.2,11.3,2733.0,32.0,90.3,398.6,20667.0,80.3,76.7,14.1,28.2,7.4,0.3,883.0,40.9,35.8,134.9,19.2,45.6,265.9,1174.1,17.9,12.2,0.7,1.3,11.7,0.2,0.1,0.2,55.9,18.2,0.4,4.2
icr030367,True,17484.5,5211.2,17019.0,575.9,45.7,145.0,12050.0,133245.1,5.6,1724.0,6.9,53.6,392.3,10986.0,37.6,25.4,7.1,15.9,4.6,2.1,882.4,10.2,30.1,94.5,10.9,24.7,817.1,1771.3,21.7,3.4,0.7,1.4,0.9,0.4,0.1,0.2,17.3,15.9,0.1,0.3
icr030368,True,16303.5,5575.0,13771.7,967.0,45.7,112.8,9749.9,181796.4,13.4,1310.6,6.7,39.2,296.6,8807.8,32.9,42.6,4.6,12.1,3.8,5.6,879.8,17.8,23.8,113.7,10.3,24.7,379.8,991.9,9.1,1.7,0.7,1.3,2.0,1.0,0.1,0.2,18.3,5.0,0.1,0.6
icr030376,True,8240.9,5575.0,8876.0,2241.9,45.7,138.5,2954.6,386493.3,58.2,714.6,15.1,29.5,131.9,6839.1,81.6,193.2,3.4,8.6,2.3,4.2,881.1,14.3,10.6,82.2,9.4,24.7,1289.4,17.6,9.1,2.2,0.7,1.3,1.9,0.3,0.1,0.2,28.9,0.6,0.5,0.3
icr030377,True,17725.7,5575.0,8080.8,2357.9,45.7,23.1,2673.1,426430.9,61.8,534.3,15.4,22.0,100.6,5381.8,81.3,211.2,2.7,6.9,1.7,2.5,885.0,19.8,9.7,75.3,8.8,24.7,1124.7,17.6,9.1,1.7,0.7,1.3,3.4,0.6,0.1,0.2,21.8,0.4,0.3,0.3
icr030387,True,13866.8,15219.3,36531.8,627.9,149.0,150.9,17020.7,81202.7,4.4,3544.3,32.3,134.2,640.9,32493.5,46.6,67.2,25.0,55.3,9.8,0.3,883.0,30.7,65.0,110.0,19.2,28.2,184.5,3013.4,600.6,17.4,0.7,1.3,18.8,0.2,0.2,0.2,32.7,35.6,0.1,20.6
icr030388,True,15218.3,14943.8,40062.3,688.5,72.1,83.5,17432.5,90025.7,4.2,3615.3,35.0,134.8,678.7,34678.5,50.8,73.1,26.8,58.8,10.5,0.3,884.3,39.5,68.8,130.1,20.7,26.9,184.5,3123.3,636.5,21.5,0.7,1.3,22.0,0.2,0.2,0.2,38.0,41.7,0.2,22.8
icr030400,True,13117.7,16972.3,39909.5,492.6,87.9,83.2,16451.3,88234.2,4.4,3769.6,35.9,130.8,700.1,33842.0,52.3,70.8,25.4,55.7,10.3,0.3,883.7,14.5,68.5,104.7,19.9,24.7,184.5,3080.7,636.7,21.6,0.7,1.3,22.3,0.2,0.3,0.2,36.8,38.3,0.3,23.7
icr030401,True,11692.4,14043.6,38137.9,440.1,112.1,88.6,15035.2,91361.2,4.4,3450.0,35.3,136.2,634.6,31963.8,49.1,68.9,23.9,51.9,10.0,0.3,882.4,30.9,63.7,104.5,18.1,24.7,184.5,2734.2,558.5,18.3,0.7,1.3,19.7,0.2,0.1,0.2,37.6,34.5,0.2,20.4
icr030416,True,13474.9,5552.3,29284.9,1262.7,346.8,118.7,11698.2,167880.4,6.7,2723.9,29.3,99.4,501.2,24210.2,76.8,58.4,17.7,40.3,8.6,0.3,885.7,2.7,44.7,114.0,17.9,24.7,563.8,1642.4,234.8,16.1,0.7,1.3,12.7,0.2,0.1,0.2,47.6,21.7,0.1,8.3
icr030430,True,14921.4,9728.4,34235.8,1224.6,239.3,230.1,13265.2,154048.4,4.8,3153.7,29.1,113.0,619.5,27910.8,71.0,58.8,21.4,49.0,9.4,0.3,884.3,0.3,52.8,107.2,17.3,24.7,942.9,1990.2,330.9,17.3,0.7,1.9,16.0,0.2,0.1,0.2,47.3,25.6,0.1,12.2
icr030431,True,13347.8,10402.5,35158.8,1024.8,135.8,143.9,13099.3,152658.9,4.3,3155.1,31.8,119.8,607.1,28868.7,71.4,60.9,22.2,49.2,9.9,0.3,886.9,0.2,55.0,109.7,17.1,24.7,304.1,2091.1,338.7,15.2,0.7,2.4,16.7,0.2,0.1,0.2,48.6,27.9,0.1,13.1
icr030438,True,10401.3,22898.8,39906.8,487.7,70.0,216.3,17823.6,69615.5,4.2,3586.3,32.5,132.8,689.2,34035.9,44.9,74.0,25.1,59.0,10.5,0.3,883.0,15.0,69.2,107.5,17.0,33.3,184.5,3201.3,694.2,20.2,0.7,1.7,24.1,0.2,0.2,0.3,27.5,37.1,0.2,22.9
icr030439,True,11763.6,15037.1,30338.7,457.4,45.7,138.1,13828.9,68199.9,4.4,2875.5,28.1,115.8,561.9,28016.9,38.6,59.8,20.2,48.2,8.6,0.3,884.3,19.5,56.6,108.3,16.3,24.7,184.5,2535.0,529.6,15.1,0.7,1.3,18.3,0.2,0.1,0.2,25.7,25.0,0.2,16.6
icr030458,True,10984.8,17523.8,34899.7,445.7,47.7,88.1,16665.5,63900.1,4.0,3328.0,32.5,124.0,699.0,31987.1,43.6,71.9,22.3,56.3,9.4,0.3,886.3,14.6,67.5,112.4,18.6,24.7,184.5,3017.2,672.4,19.2,0.7,1.3,22.0,0.2,0.4,0.3,27.8,35.4,0.2,24.2
icr030459,True,13312.3,20888.3,36072.6,465.0,47.3,35.0,18058.1,65002.4,4.1,3664.8,34.3,140.2,803.8,34196.0,48.1,76.3,24.4,59.7,10.1,0.3,883.0,16.2,73.5,127.7,20.7,24.7,184.5,3393.6,750.8,20.7,0.7,1.4,23.4,0.2,0.7,0.3,29.7,41.8,0.5,27.7
icr030478,True,16288.1,5620.4,27238.9,911.1,370.0,890.4,15785.1,98650.0,4.4,2561.5,20.6,92.3,409.6,20429.8,39.1,41.3,17.9,40.9,6.1,0.3,879.8,35.7,39.0,100.9,12.1,24.7,277.1,1735.6,234.1,9.2,0.7,2.1,9.2,0.2,0.1,0.2,27.9,13.9,0.1,6.5
icr030479,True,12621.1,6150.6,28356.7,1127.0,363.1,1449.9,17291.0,145531.2,4.7,2634.2,26.5,98.4,404.4,22208.6,56.6,51.4,17.4,39.6,7.1,0.3,885.6,52.0,40.5,117.7,14.0,24.7,851.5,1556.4,163.7,10.5,0.7,1.3,9.9,0.2,0.1,0.2,39.6,17.7,0.1,5.9
icr030494,True,11945.0,15621.5,38306.0,446.7,51.6,96.5,17709.1,81161.2,4.4,3721.3,34.1,132.8,718.5,33952.0,46.4,72.1,24.3,56.3,10.3,0.3,883.0,12.4,70.8,122.9,19.8,24.7,184.5,3127.5,673.1,22.2,0.7,1.3,21.4,0.2,0.3,0.2,34.8,38.2,0.4,25.6
icr030495,True,12796.6,16686.8,35442.5,349.5,45.7,71.9,15744.5,89497.8,4.3,3456.0,35.4,125.9,671.8,32332.2,47.3,69.6,23.7,52.8,10.0,0.3,883.0,15.5,66.2,136.1,18.4,24.9,184.5,2845.3,596.7,19.5,0.7,1.3,18.3,0.2,0.2,0.2,39.0,36.2,0.6,23.4
icr030511,True,14428.4,7352.8,30917.1,870.3,484.9,183.8,15241.8,89106.9,4.4,3380.7,31.1,120.1,613.1,29104.8,44.6,59.7,21.0,46.5,9.0,0.3,886.3,44.2,58.0,96.6,17.2,24.7,251.3,2572.7,483.3,16.4,0.7,2.5,16.0,0.2,0.1,0.2,34.9,28.8,0.1,16.9
icr030512,True,12812.5,6554.0,29342.8,571.7,416.4,133.2,12924.8,95244.9,37.8,3025.1,51.7,90.0,470.8,26221.3,1.3,62.2,17.9,40.1,9.1,0.3,881.1,67.9,53.5,93.0,15.3,24.7,184.5,520.3,618.1,42.8,0.7,19.5,9.8,0.2,0.1,0.2,29.9,21.7,0.1,14.6
icr030531,True,13015.5,19206.0,31803.4,341.2,45.7,37.0,15354.0,68430.4,11.8,3143.3,34.9,109.8,627.8,29676.9,35.5,66.7,20.3,51.2,9.2,0.3,883.7,5.2,60.9,123.6,16.0,24.7,184.5,2326.4,671.7,29.3,0.7,6.4,19.2,0.2,0.4,0.2,26.0,28.8,0.1,20.7
icr030532,True,12316.5,7005.0,21157.0,2013.1,1059.2,1444.1,18734.6,167715.6,44.8,2167.7,24.6,75.5,441.8,17952.4,58.6,50.9,16.5,67.4,5.7,0.3,886.3,50.8,35.4,149.3,11.8,24.7,701.1,980.7,151.7,13.1,0.7,2.6,8.3,0.2,0.1,0.2,37.7,9.7,0.1,3.3
icr030551,True,12355.8,21060.2,37960.2,459.4,56.7,133.6,16797.2,77902.4,17.2,3356.5,39.5,125.9,630.1,31154.4,33.4,71.0,21.4,53.3,9.4,0.3,883.7,9.7,63.7,109.8,17.7,23.7,184.5,2113.6,686.0,30.3,0.7,9.9,19.2,0.2,0.8,0.3,30.3,31.1,0.2,22.3
