SSN,Public,Latitude,Longitude,Cluster,Plot,Depth,Soil material,Scientist,Site,Country,Region,Cultivated,Gid
icr055923,True,-13.08315833,28.44561,3,2,sub,Fise.3.2.Subsoil.Std fine soil,L.T.Desta,Fisenge,Zambia,South Africa,True,1010
icr068340,True,13.37199833,1.804516667,13,1,sub,Nyal.13.1.Subsoil.Std fine soil,Jerome Tondoh,Nyalagari,Niger,West Africa,,1464
icr075451,True,-17.8176,31.8616,7,2,sub,Chiq.7.2.Subsoil.Std fine soil,L.T.Desta,Chiqumbakwe,Zimbabwe,,,1857
icr042966,True,10.491285,-13.380635,10,1,top,Fria.10.1.Topsoil.Std fine soil,Jerome Tondoh,Fria,Guinea,West Africa,,1257
icr007831,True,-5.35331202,37.46604919,6,1,sub,Kib.6.1.Subsoil.Std fine soil,Tor Gunnar Vagen,Kiberashi,Tanzania,East Africa,False,176
icr023413,True,-13.37711,35.52999333,16,1,top,Mak.16.1.Topsoil.Std fine soil,Dr L.T.Desta,Macassangila,Mozambique,South Africa,True,598
icr030025,True,8.57689476,34.97977448,1,1,sub,,Tor Vagen,Dambidolo,Ethiopia,East Africa,True,472
icr043249,True,11.94213,-13.157495,7,2,sub,Boum.7.2.Subsoil.Std fine soil,Jerome Tondoh,Boumeoul,Guinea,West Africa,,1284
icr042853,True,10.53704833,-13.42797333,4,4,top,Fria.4.4.Topsoil.Std fine soil,Jerome Tondoh,Fria,Guinea,West Africa,,1245
icr030218,True,8.61843967,35.02986145,11,1,top,,Tor Vagen,Dambidolo,Ethiopia,East Africa,True,491
icr050395,True,-16.14783,39.003835,14,1,sub,Mart.14.1.Subsoil.Std fine soil,Lulseged Tamene,Martinho,Mozambique,South Africa,False,907
icr037907,True,5.23253833,10.27185333,9,1,top,Bana.9.1.Topsoil.Std fine soil,Jerome Tondoh,Bana,Cameroon,West Africa,,1159
icr016032,True,5.42318167,-0.7090833329999999,15,1,top,Aju.15.1.Topsoil.Std fine soil,Jerome Tondoh,Ajumako,Ghana,West Africa,False,345
icr038056,True,5.30045833,10.293825,16,7,top,Bana.16.7.Topsoil.Std fine soil,Jerome Tondoh,Bana,Cameroon,West Africa,,1173
icr010395,True,14.83678,-11.03356833,4,1,top,Kon.4.1.Topsoil.Std fine soil,Jerome Tondoh,Kontela,Mali,West Africa,False,212
icr015084,True,10.88871,-2.684621667,2,1,sub,Lam.2.1.Subsoil.Std fine soil,Jerome Tondoh,Lambussie,Ghana,West Africa,True,615
icr014648,True,-11.66673333,34.27007167,13,1,top,Nkh.13.1.Topsoil.Std fine soil,L.T.Desta,Nkhata Bay,Malawi,South Africa,,106
icr015432,True,6.69583167,-1.306978333,1,1,top,Kub.1.1.Topsoil.Std fine soil,Jerom Tondoh,Kubeasi,Ghana,West Africa,False,285
icr062295,True,-18.349,48.7392,9,1,sub,Didy.9.1.Subsoil.Std fine soil,Leigh Winowieck,Didy,Madagascar,,,1351
icr024938,True,-6.92998695,34.19476318,5,1,sub,,Tor Vagen,Itende,Tanzania,East Africa,False,452
icr068382,True,13.404805,1.802671667,15,2,sub,Nyal.15.2.Subsoil.Std fine soil,Jerome Tondoh,Nyalagari,Niger,West Africa,,1468
icr074872,True,-19.4209,22.0793,13,1,sub,Guma.13.1.Subsoil.Std fine soil,L.T.Desta,Gumare,Botswana,,,1838
icr023136,True,-13.42477667,35.46136,2,1,top,Mak.2.1.Topsoil.Std fine soil,Dr L.T.Desta,Macassangila,Mozambique,South Africa,False,384
icr034693,True,6.715560000000001,4.650443333,5,2,top,Imor.5.2.Topsoil.Std fine soil,Jerome Tondoh,Imorun,Nigeria,West Africa,False,700
icr075607,True,-17.8097,31.9012,15,1,top,Chiq.15.1.Topsoil.Std fine soil,L.T.Desta,Chiqumbakwe,Zimbabwe,,,1872
icr015178,True,10.9093,-2.65447,7,1,sub,Lam.7.1.Subsoil.Std fine soil,Jerome Tondoh,Lambussie,Ghana,,False,620
icr010415,True,14.76583,-11.011,5,1,top,Kon.5.1.Topsoil.Std fine soil,Jerome Tondoh,Kontela,Mali,West Africa,False,214
icr072345,True,-7.356638332999999,15.71737333,6,1,top,Sanz.6.1.Topsoil.Std fine soil,L.T.Desta,Sanza Pompo,Angola,South Africa,,1541
icr042897,True,10.50197833,-13.40440167,6,7,sub,Fria.6.7.Subsoil.Std fine soil,Jerome Tondoh,Fria,Guinea,West Africa,,1250
icr015493,True,6.75996167,-1.309595,4,1,sub,Kub.4.1.Subsoil.Std fine soil,Jerom Tondoh,Kubeasi,Ghana,West Africa,True,292
icr049954,True,-24.17373167,34.35931333,8,1,top,Mass.8.1.Topsoil.Std fine soil,Lulseged Tamene,Massuque,Mozambique,South Africa,False,1383
icr043152,True,11.91600667,-13.17532833,2,1,top,Boum.2.1.Topsoil.Std fine soil,Jerome Tondoh,Boumeoul,Guinea,West Africa,,1273
icr010198,True,-11.08710003,35.19179916,15,1,top,Mbi.15.1.Topsoil.Std fine soil,Leigh Winoweicki,Mbinga,Tanzania,East Africa,False,27
icr054418,True,0.56465697,32.33332062,16,1,top,Nama.16.1.Topsoil.Std fine soil, Leigh Winowiecki ,Namasuba,Uganda,East Africa,True,942
icr033526,True,-0.15493301,39.06001282,13,1,sub,Mbal.13.1.Subsoil.Std fine soil,Leigh Winowiecki,Mbalambala,Kenya,East Africa,,1093
icr072968,True,-11.75044833,15.87774167,2,1,top,Bimb.2.1.Topsoil.Std fine soil,L.T.Desta,Bimbe,Angola,South Africa,,1597
icr033372,True,-0.12604301,38.9902153,2,1,sub,Mbal.2.1.Subsoil.Std fine soil,Leigh Winowiecki,Mbalambala,Kenya,East Africa,,1073
icr049101,True,-29.9347,22.7598,11,2,sub,Prie.11.2.Subsoil.Std fine soil,George Van Zijl,Prieska,South Africa,South Africa,False,805
icr073877,True,-19.437477,28.792972,13,1,top,Keni.13.1.Topsoil.Std fine soil,L.T.Desta,Kenilworth,Zimbabwe,South Africa,,1777
icr049175,True,-29.9066,22.7832,16,9,sub,Prie.16.9.Subsoil.Std fine soil,George Van Zijl,Prieska,South Africa,South Africa,False,815
icr072696,True,-16.240289999999998,14.90458833,6,1,top,Muco.6.1.Topsoil.Std fine soil,L.T.Desta,Mucope,Angola,South Africa,,1573
icr074212,True,-18.111,29.485,14,1,sub,Gamb.14.1.Subsoil.Std fine soil,L.T.Desta,Gambisa,Zimbabwe,,False,1718
icr030024,True,8.57689476,34.97977448,1,1,top,,Tor Vagen,Dambidolo,Ethiopia,East Africa,True,471
icr012043,True,-3.06005502,33.08431244,13,1,top,Buk.13.1.Topsoil.Std fine soil,Leigh Winoweicki,Bukwaya,Tanzania,East Africa,True,57
icr041987,True,-1.75930798,35.77468491,1,1,top,Mori.1.1.Topsoil.Std fine soil,Leigh wenoweicki,Morijo,Kenya,East Africa,,1207
icr025055,True,-6.85391283,34.21279907,12,1,top,,Tor Vagen,Itende,Tanzania,East Africa,False,408
icr074560,True,-21.7483,26.5266,15,1,top,Paje.15.1.Topsoil.Std fine soil,L.T.Desta,Paje,Botswana,,,1809
icr042152,True,-1.73084498,35.81271362,10,1,top,Mori.10.1.Topsoil.Std fine soil,Leigh wenoweicki,Morijo,Kenya,East Africa,,1225
icr069809,True,14.83139,-7.843868333,2,1,top,Tamb.2.1.Topsoil.Std fine soil,Jerom Tondoh,Tambabougou,Mali,West Africa,,1725
icr072636,True,-16.21611333,14.88083,3,1,top,Muco.3.1.Topsoil.Std fine soil,L.T.Desta,Mucope,Angola,South Africa,,1567
icr072969,True,-11.75044833,15.87774167,2,1,sub,Bimb.2.1.Subsoil.Std fine soil,L.T.Desta,Bimbe,Angola,South Africa,,1598
icr049438,True,-22.84876167,35.33593,14,1,sub,Chic.14.1.Subsoil.Std fine soil,Lulseged Tamene,Chiculecule,Mozambique,South Africa,False,843
icr016033,True,5.42318167,-0.7090833329999999,15,1,sub,Aju.15.1.Subsoil.Std fine soil,Jerome Tondoh,Ajumako,Ghana,West Africa,False,346
icr034522,True,7.00900167,9.378645,14,1,sub,Kats.14.1.Subsoil.Std fine soil,Jerome Tondoh,Katsina ala,Nigeria,West Africa,False,687
icr075676,True,-15.897394,26.093142,1,1,top,Musu.1.1.Topsoil.Std fine soil,L.T.Desta,Musungwa,Zambia,South Africa,True,1407
icr033445,True,-0.129155,39.01071167,6,10,top,Mbal.6.10.Topsoil.Std fine soil,Leigh Winowiecki,Mbalambala,Kenya,East Africa,,1082
icr034031,True,8.146075,9.884018333,7,1,sub,Ibi.7.1.Subsoil.Std fine soil,Jerome Tondoh,Ibi,Nigeria,West Africa,False,642
icr062374,True,-18.3387,48.7558,13,1,sub,Didy.13.1.Subsoil.Std fine soil,Leigh Winowieck,Didy,Madagascar,,,1359
icr015512,True,6.6844800000000015,-1.28564,5,1,top,Kub.5.1.Topsoil.Std fine soil,Jerom Tondoh,Kubeasi,Ghana,West Africa,False,293
icr030063,True,8.6298523,34.98375702,3,1,top,,Tor Vagen,Dambidolo,Ethiopia,East Africa,True,475
icr023593,True,-14.7512,39.8859,9,1,top,Chik.9.1.Topsoil.Std fine soil,Dr L.T.Desta,Chica_b,Mozambique,,,536
icr025017,True,-6.90416813,34.21570587,10,1,sub,,Tor Vagen,Itende,Tanzania,East Africa,False,462
icr048986,True,-29.9494,22.7059,2,1,sub,Prie.2.1.Subsoil.Std fine soil,George Van Zijl,Prieska,South Africa,South Africa,False,789
icr034282,True,7.00485667,9.30729,2,1,top,Kats.2.1.Topsoil.Std fine soil,Jerome Tondoh,Katsina ala,Nigeria,West Africa,True,661
icr075776,True,-15.87001333,26.118435,6,1,top,Musu.6.1.Topsoil.Std fine soil,L.T.Desta,Musungwa,Zambia,South Africa,False,1417
icr049197,True,-22.85042333,35.273025,2,1,top,Chic.2.1.Topsoil.Std fine soil,Lulseged Tamene,Chiculecule,Mozambique,South Africa,True,818
icr068279,True,13.38991667,1.77919,10,1,top,Nyal.10.1.Topsoil.Std fine soil,Jerome Tondoh,Nyalagari,Niger,West Africa,,1457
icr010845,True,12.45190833,-6.288508332999999,9,1,top,Kol.9.1.Topsoil.Std fine soil,Jerome Tondoh,Koloko,Mali,West Africa,True,37
icr048468,True,-27.5922,30.0235,2,1,top,Mada.2.1.Topsoil.Std fine soil,George Van Zijl,Madadeni,South Africa,South Africa,False,755
icr042099,True,-1.70412803,35.80501556,7,1,sub,Mori.7.1.Subsoil.Std fine soil,Leigh wenoweicki,Morijo,Kenya,East Africa,,1220
icr007791,True,-5.31900215,37.45064163,4,1,sub,Kib.4.1.Subsoil.Std fine soil,Tor Gunnar Vagen,Kiberashi,Tanzania,East Africa,False,172
icr073917,True,-19.392763,28.802128000000003,15,1,top,Keni.15.1.Topsoil.Std fine soil,L.T.Desta,Kenilworth,Zimbabwe,South Africa,,1781
icr038118,True,11.28125763,39.5773468,2,1,top,Kuta.2.1.Topsoil.Std fine soil,Leigh Wenoicki,Kutaber,Ethiopia,East Africa,False,725
icr005929,True,-6.93070316,36.09182358,1,1,sub,Chi.1.1.Subsoil.Std fine soil,Tor Gunnar Vagen,Chinyanghuku,Tanzania,East Africa,True,129
icr033871,True,4.19322205,38.3321991,15,1,top,Mega.15.1.Topsoil.Std fine soil,Leigh Wenoiwecki,Mega,Ethiopia,East Africa,,1106
icr049557,True,-17.98425333,36.79508667,4,1,sub,Ihas.4.1.Subsoil.Std fine soil,Lulseged Tamene,Ihassunge,Mozambique,South Africa,True,855
icr037676,True,11.294715,-5.4702449999999985,14,8,sub,Fink.14.8.Subsoil.Std fine soil,Jerome Tondoh,Finnkolo,Mali,West Africa,,1138
icr074751,True,-19.3695,22.0389,7,1,top,Guma.7.1.Topsoil.Std fine soil,L.T.Desta,Gumare,Botswana,,,1825
icr034734,True,6.76571833,4.644376667,7,1,sub,Imor.7.1.Subsoil.Std fine soil,Jerome Tondoh,Imorun,Nigeria,West Africa,True,1368
icr015217,True,10.86049667,-2.632743333,9,1,sub,Lam.9.1.Subsoil.Std fine soil,Jerome Tondoh,Lambussie,Ghana,West Africa,True,622
icr072857,True,-16.24256167,14.94835667,14,1,sub,Muco.14.1.Subsoil.Std fine soil,L.T.Desta,Mucope,Angola,South Africa,,1590
icr073028,True,-11.77340167,15.90902167,5,1,top,Bimb.5.1.Topsoil.Std fine soil,L.T.Desta,Bimbe,Angola,South Africa,,1603
icr015137,True,10.86856833,-2.663826667,5,1,top,Lam.5.1.Topsoil.Std fine soil,Jerome Tondoh,Lambussie,Ghana,West Africa,False,117
icr034793,True,6.74489167,4.666406667,10,1,top,Imor.10.1.Topsoil.Std fine soil,Jerome Tondoh,Imorun,Nigeria,West Africa,True,709
icr015433,True,6.69583167,-1.306978333,1,1,sub,Kub.1.1.Subsoil.Std fine soil,Jerom Tondoh,Kubeasi,Ghana,West Africa,False,286
icr034423,True,6.97757667,9.348373333,9,1,sub,Kats.9.1.Subsoil.Std fine soil,Jerome Tondoh,Katsina ala,Nigeria,West Africa,True,676
icr034030,True,8.146075,9.884018333,7,1,top,Ibi.7.1.Topsoil.Std fine soil,Jerome Tondoh,Ibi,Nigeria,West Africa,False,641
icr014409,True,-11.65983,34.21137167,1,1,sub,Nkh.1.1.Subsoil.Std fine soil,L.T.Desta,Nkhata Bay,Malawi,South Africa,,520
icr033371,True,-0.12604301,38.9902153,2,1,top,Mbal.2.1.Topsoil.Std fine soil,Leigh Winowiecki,Mbalambala,Kenya,East Africa,,1072
icr062413,True,-18.2982,48.7534,15,1,top,Didy.15.1.Topsoil.Std fine soil,Leigh Winowieck,Didy,Madagascar,,,1362
icr074397,True,-21.7771,26.4829,6,1,sub,Paje.6.1.Subsoil.Std fine soil,L.T.Desta,Paje,Botswana,,,1796
icr030571,True,9.63665199,42.73842239,16,2,top,,Tor Vargen,Merar,Ethiopia,East Africa,,567
icr056500,True,-16.04378333,28.32967,16,1,top,Mong.16.1.Topsoil.Std fine soil,L.T.Desta,Monga,Zambia,South Africa,False,1066
icr054516,True,1.475106667,31.48906833,6,1,sub,Hoim.6.1.Subsoil.Std fine soil, Leigh Winowiecki ,Hoima,Uganda,East Africa,False,955
icr048900,True,-29.7687,23.9539,12,1,sub,Hope.12.1.Subsoil.Std fine soil,George Van Zijl,Hopetown,South Africa,,,1325
icr037621,True,11.31536667,-5.496258332999999,11,8,sub,Fink.11.8.Subsoil.Std fine soil,Jerome Tondoh,Finnkolo,Mali,West Africa,,1132
icr025010,True,-6.927495,34.22314835,9,5,sub,,Tor Vagen,Itende,Tanzania,East Africa,False,460
icr074318,True,-21.7779,26.4554,2,1,top,Paje.2.1.Topsoil.Std fine soil,L.T.Desta,Paje,Botswana,,,1787
icr048665,True,-27.6154,30.0861,13,2,sub,Mada.13.2.Subsoil.Std fine soil,George Van Zijl,Madadeni,South Africa,South Africa,False,778
icr020849,True,-8.07403278,37.26938248,1,1,sub,Kid.1.1.Subsoil.Std fine soil,Leigh Winoweicki,Kidatu,Tanzania,East Africa,False,350
icr049635,True,-17.98034833,36.82528667,8,1,top,Ihas.8.1.Topsoil.Std fine soil,Lulseged Tamene,Ihassunge,Mozambique,South Africa,True,862
icr048855,True,-29.8424,23.9545,9,3,sub,Hope.9.3.Subsoil.Std fine soil,George Van Zijl,Hopetown,South Africa,,,1319
icr006684,True,-6.12214,36.5064,13,1,top,Pan.13.1.Topsoil.Std fine soil,Tor Gunnar Vagen,Pandambili,Tanzania,East Africa,False,159
icr037418,True,11.27548333,-5.5312,1,3,sub,Fink.1.3.Subsoil.Std fine soil,Jerome Tondoh,Finnkolo,Mali,West Africa,,1112
icr033638,True,4.19490194,38.25834656,3,1,sub,Mega.3.1.Subsoil.Std fine soil,Leigh Wenoiwecki,Mega,Ethiopia,East Africa,,574
icr070348,True,9.188533332999999,5.742303333,14,1,top,Kuti.14.1.Topsoil.Std fine soil,Jerom Tondoh,Kutigi,Nigeria,West Africa,,1526
icr073857,True,-19.36441167,28.77160167,12,1,top,Keni.12.1.Topsoil.Std fine soil,L.T.Desta,Kenilworth,Zimbabwe,South Africa,,1775
icr042810,True,10.49729833,-13.42232167,2,2,top,Fria.2.2.Topsoil.Std fine soil,Jerome Tondoh,Fria,Guinea,West Africa,,1241
icr010139,True,-11.05809975,35.16949844,12,1,sub,Mbi.12.1.Subsoil.Std fine soil,Leigh Winoweicki,Mbinga,Tanzania,East Africa,False,200
icr073499,True,-12.31855667,15.2063,11,1,top,Luim.11.1.Topsoil.Std fine soil,L.T.Desta,Luimbale,Angola,South Africa,,1645
icr055704,True,-9.13688,29.6462,8,1,sub,Chil.8.1.Subsoil.Std fine soil,L.T.Desta,Chilende,Zambia,,False,990
icr033567,True,-0.109038,39.05654144,15,2,sub,Mbal.15.2.Subsoil.Std fine soil,Leigh Winowiecki,Mbalambala,Kenya,East Africa,,1097
icr012063,True,-3.03619504,33.09140778,14,1,top,Buk.14.1.Topsoil.Std fine soil,Leigh Winoweicki,Bukwaya,Tanzania,East Africa,True,58
icr005928,True,-6.93070316,36.09182358,1,1,top,Chi.1.1.Topsoil.Std fine soil,Tor Gunnar Vagen,Chinyanghuku,Tanzania,East Africa,True,1
icr062314,True,-18.3162,48.7348,10,1,top,Didy.10.1.Topsoil.Std fine soil,Leigh Winowieck,Didy,Madagascar,,,1352
icr074413,True,-21.7559,26.4813,7,1,top,Paje.7.1.Topsoil.Std fine soil,L.T.Desta,Paje,Botswana,,,1797
icr074712,True,-19.4158,22.0395,5,1,sub,Guma.5.1.Subsoil.Std fine soil,L.T.Desta,Gumare,Botswana,,,1822
icr011901,True,-3.06098199,33.03066254,5,1,top,Buk.5.1.Topsoil.Std fine soil,Leigh Winoweicki,Bukwaya,Tanzania,East Africa,False,49
icr062434,True,-18.2793,48.7545,16,1,sub,Didy.16.1.Subsoil.Std fine soil,Leigh Winowieck,Didy,Madagascar,,,1365
icr012087,True,-2.99145794,33.07735062,16,1,top,Buk.16.1.Topsoil.Std fine soil,Leigh Winoweicki,Bukwaya,Tanzania,East Africa,True,60
icr073839,True,-19.39583167,28.76500833,11,1,top,Keni.11.1.Topsoil.Std fine soil,L.T.Desta,Kenilworth,Zimbabwe,South Africa,,1773
icr025112,True,-6.87730789,34.24555969,15,1,sub,,Tor Vagen,Itende,Tanzania,East Africa,False,469
icr056361,True,-16.11395,28.30799833,9,1,sub,Mong.9.1.Subsoil.Std fine soil,L.T.Desta,Monga,Zambia,South Africa,False,1053
icr050375,True,-16.17446833,39.00523333,13,1,sub,Mart.13.1.Subsoil.Std fine soil,Lulseged Tamene,Martinho,Mozambique,South Africa,True,905
icr050335,True,-16.13721833,38.9843,11,1,sub,Mart.11.1.Subsoil.Std fine soil,Lulseged Tamene,Martinho,Mozambique,South Africa,False,901
icr041659,True,-2.64596796,39.51325607,2,1,top,Mara.2.1.Topsoil.Std fine soil,Leigh Wenoiwecki,Marafa,Kenya,East Africa,,1177
icr068362,True,13.38568167,1.7982983330000002,14,2,sub,Nyal.14.2.Subsoil.Std fine soil,Jerome Tondoh,Nyalagari,Niger,West Africa,,1466
icr054676,True,1.5015983330000002,31.53512667,15,1,top,Hoim.15.1.Topsoil.Std fine soil, Leigh Winowiecki ,Hoima,Uganda,East Africa,True,972
icr049130,True,-29.9771,22.7788,13,5,top,Prie.13.5.Topsoil.Std fine soil,George Van Zijl,Prieska,South Africa,South Africa,False,808
icr023394,True,-13.402779999999998,35.52307667,15,1,sub,Mak.15.1.Subsoil.Std fine soil,Dr L.T.Desta,Macassangila,Mozambique,South Africa,True,411
icr049337,True,-22.87014333,35.313225,9,1,top,Chic.9.1.Topsoil.Std fine soil,Lulseged Tamene,Chiculecule,Mozambique,South Africa,True,832
icr037927,True,5.25545667,10.26777667,10,1,top,Bana.10.1.Topsoil.Std fine soil,Jerome Tondoh,Bana,Cameroon,West Africa,,1161
icr023117,True,-13.44472167,35.46230333,1,1,sub,Mak.1.1.Subsoil.Std fine soil,Dr L.T.Desta,Macassangila,Mozambique,South Africa,False,383
icr037491,True,11.27253667,-5.513963333,5,1,top,Fink.5.1.Topsoil.Std fine soil,Jerome Tondoh,Finnkolo,Mali,West Africa,,1119
icr015104,True,10.90801333,-2.681893333,3,1,sub,Lam.3.1.Subsoil.Std fine soil,Jerome Tondoh,Lambussie,Ghana,West Africa,True,616
icr024956,True,-6.91006517,34.19247818,6,1,top,,Tor Vagen,Itende,Tanzania,East Africa,False,453
icr072406,True,-7.372464999999999,15.73818833,9,1,sub,Sanz.9.1.Subsoil.Std fine soil,L.T.Desta,Sanza Pompo,Angola,South Africa,,1548
icr033911,True,8.10135,9.867401667000001,1,1,sub,Ibi.1.1.Subsoil.Std fine soil,Jerome Tondoh,Ibi,Nigeria,West Africa,False,630
icr069829,True,14.85631333,-7.846764999999999,3,1,top,Tamb.3.1.Topsoil.Std fine soil,Jerom Tondoh,Tambabougou,Mali,West Africa,,1727
icr049735,True,-18.048055,36.86693667,13,1,top,Ihas.13.1.Topsoil.Std fine soil,Lulseged Tamene,Ihassunge,Mozambique,South Africa,False,872
icr054258,True,0.51271302,32.28875732,6,1,top,Nama.6.1.Topsoil.Std fine soil, Leigh Winowiecki ,Namasuba,Uganda,East Africa,True,921
icr068361,True,13.38568167,1.7982983330000002,14,2,top,Nyal.14.2.Topsoil.Std fine soil,Jerome Tondoh,Nyalagari,Niger,West Africa,,1465
icr042930,True,10.53327167,-13.410885,8,3,top,Fria.8.3.Topsoil.Std fine soil,Jerome Tondoh,Fria,Guinea,West Africa,,1253
icr062275,True,-18.2724,48.7098,8,1,top,Didy.8.1.Topsoil.Std fine soil,Leigh Winowieck,Didy,Madagascar,,,1348
icr073440,True,-12.297935,15.17505,8,1,sub,Luim.8.1.Subsoil.Std fine soil,L.T.Desta,Luimbale,Angola,South Africa,,1640
icr010455,True,14.82445833,-11.00853333,7,1,top,Kon.7.1.Topsoil.Std fine soil,Jerome Tondoh,Kontela,Mali,West Africa,False,218
icr010575,True,14.77818833,-10.964785,13,1,top,Kon.13.1.Topsoil.Std fine soil,Jerome Tondoh,Kontela,Mali,West Africa,False,230
icr048977,True,-29.9721,22.7102,1,1,top,Prie.1.1.Topsoil.Std fine soil,George Van Zijl,Prieska,South Africa,South Africa,False,785
icr033352,True,-0.150345,38.99033356,1,1,sub,Mbal.1.1.Subsoil.Std fine soil,Leigh Winowiecki,Mbalambala,Kenya,East Africa,,1071
icr011321,True,10.950885,-3.513765,16,1,top,Bon.16.1.Topsoil.Std fine soil,Jerome Tondoh,Bondigui,Burkina Faso,West Africa,,93
icr048623,True,-27.5668,30.0585,11,1,sub,Mada.11.1.Subsoil.Std fine soil,George Van Zijl,Madadeni,South Africa,South Africa,False,774
icr075856,True,-15.87658167,26.13388333,10,1,top,Musu.10.1.Topsoil.Std fine soil,L.T.Desta,Musungwa,Zambia,South Africa,False,1425
icr068439,True,11.307105,8.119573333,2,1,top,Pamp.2.1.Topsoil.Std fine soil,Jerome Tondoh,Pampaida,Nigeria,West Africa,,1473
icr070049,True,14.83130167,-7.780153332999999,14,1,top,Tamb.14.1.Topsoil.Std fine soil,Jerom Tondoh,Tambabougou,Mali,West Africa,,1749
icr033950,True,8.14880667,9.866153333,3,1,top,Ibi.3.1.Topsoil.Std fine soil,Jerome Tondoh,Ibi,Nigeria,West Africa,False,633
icr055862,True,-9.14041,29.689,16,1,top,Chil.16.1.Topsoil.Std fine soil,L.T.Desta,Chilende,Zambia,,False,1003
icr041760,True,-2.622082,39.53253555,7,1,sub,Mara.7.1.Subsoil.Std fine soil,Leigh Wenoiwecki,Marafa,Kenya,East Africa,,1188
icr068599,True,11.30869,8.175328333,10,1,top,Pamp.10.1.Topsoil.Std fine soil,Jerome Tondoh,Pampaida,Nigeria,West Africa,,1489
icr023574,True,-14.68552,39.86471833,8,1,sub,Chik.8.1.Subsoil.Std fine soil,Dr L.T.Desta,Chica_b,Mozambique,South Africa,False,428
icr038369,True,11.32898712,39.64373779,16,1,sub,Kuta.16.1.Subsoil.Std fine soil,Leigh Wenoicki,Kutaber,Ethiopia,East Africa,True,752
icr034403,True,7.04311,9.33436,8,1,sub,Kats.8.1.Subsoil.Std fine soil,Jerome Tondoh,Katsina ala,Nigeria,West Africa,False,674
icr054529,True,1.5029833330000002,31.490945,7,1,top,Hoim.7.1.Topsoil.Std fine soil, Leigh Winowiecki ,Hoima,Uganda,East Africa,False,956
icr074193,True,-18.1315,29.4801,13,2,top,Gamb.13.2.Topsoil.Std fine soil,L.T.Desta,Gambisa,Zimbabwe,,False,1715
icr037627,True,11.351895,-5.48847,12,1,sub,Fink.12.1.Subsoil.Std fine soil,Jerome Tondoh,Finnkolo,Mali,West Africa,,1134
icr016012,True,5.39372667,-0.7071333329999999,14,1,top,Aju.14.1.Topsoil.Std fine soil,Jerome Tondoh,Ajumako,Ghana,West Africa,True,343
icr072485,True,-7.372681667,15.76295333,13,1,top,Sanz.13.1.Topsoil.Std fine soil,L.T.Desta,Sanza Pompo,Angola,South Africa,,1555
icr034753,True,6.78485167,4.643185,8,1,top,Imor.8.1.Topsoil.Std fine soil,Jerome Tondoh,Imorun,Nigeria,West Africa,True,705
icr048704,True,-27.5677,30.0907,15,2,top,Mada.15.2.Topsoil.Std fine soil,George Van Zijl,Madadeni,South Africa,South Africa,False,781
icr054184,True,0.51586801,32.26354218,2,1,sub,Nama.2.1.Subsoil.Std fine soil, Leigh Winowiecki ,Namasuba,Uganda,East Africa,True,915
icr038235,True,11.33642006,39.59075165,8,5,sub,Kuta.8.5.Subsoil.Std fine soil,Leigh Wenoicki,Kutaber,Ethiopia,East Africa,False,737
icr048705,True,-27.5677,30.0907,15,2,sub,Mada.15.2.Subsoil.Std fine soil,George Van Zijl,Madadeni,South Africa,South Africa,False,782
icr056400,True,-16.068839999999998,28.30719667,11,1,top,Mong.11.1.Topsoil.Std fine soil,L.T.Desta,Monga,Zambia,South Africa,False,1056
icr074792,True,-19.4123,22.06,9,1,sub,Guma.9.1.Subsoil.Std fine soil,L.T.Desta,Gumare,Botswana,,,1830
icr070262,True,9.17576,5.711345,9,4,top,Kuti.9.4.Topsoil.Std fine soil,Jerom Tondoh,Kutigi,Nigeria,West Africa,,1516
icr034561,True,7.04615167,9.370495,16,1,top,Kats.16.1.Topsoil.Std fine soil,Jerome Tondoh,Katsina ala,Nigeria,West Africa,True,690
icr006179,True,-6.871339999999999,36.1579,16,1,top,Chi.16.1.Topsoil.Std fine soil,Tor Gunnar Vagen,Chinyanghuku,Tanzania,East Africa,False,112
icr068619,True,11.332955,8.173293333,11,1,top,Pamp.11.1.Topsoil.Std fine soil,Jerome Tondoh,Pampaida,Nigeria,West Africa,,1491
icr072544,True,-7.31389,15.76066667,16,2,top,Sanz.16.2.Topsoil.Std fine soil,L.T.Desta,Sanza Pompo,Angola,South Africa,,1561
icr023713,True,-14.70472833,39.91341833,15,1,sub,Chik.15.1.Subsoil.Std fine soil,Dr L.T.Desta,Chica_b,Mozambique,South Africa,False,440
icr011164,True,10.94325667,-3.550565,8,1,top,Bon.8.1.Topsoil.Std fine soil,Jerome Tondoh,Bondigui,Burkina Faso,West Africa,,85
icr049935,True,-24.18840333,34.34585833,7,1,sub,Mass.7.1.Subsoil.Std fine soil,Lulseged Tamene,Massuque,Mozambique,South Africa,False,1382
icr030387,True,9.56801796,42.69237518,5,2,top,,Tor Vargen,Merar,Ethiopia,East Africa,,546
icr072306,True,-7.315181667,15.69147833,4,1,top,Sanz.4.1.Topsoil.Std fine soil,L.T.Desta,Sanza Pompo,Angola,South Africa,,1537
icr007968,True,-5.37793303,37.51511383,13,1,sub,Kib.13.1.Subsoil.Std fine soil,Tor Gunnar Vagen,Kiberashi,Tanzania,East Africa,True,184
icr043040,True,10.49347167,-13.36102833,14,1,top,Fria.14.1.Topsoil.Std fine soil,Jerome Tondoh,Fria,Guinea,West Africa,,1265
