SSN,Public,EC,ExAc,ExBas,M3 Al,M3 B,M3 Ca,M3 Cu,M3 Fe,M3 K,M3 Mg,M3 Mn,M3 Na,M3 P,M3 S,M3 Zn,PH,PSI
icr023333,True,0.058,0.1,4.448803767,1134.0,0.21,481.0,2.58,134.0,193.0,176.0,170.0,22.0,40.16,7.0,2.13,5.89,129.98
icr023334,True,0.042,0.1,4.351949124,1237.0,0.2,443.0,1.89,92.0,200.0,183.0,138.0,26.0,14.02,7.0,1.63,5.92,188.12
icr023353,True,0.058,0.1,3.881490562,800.0,0.17,500.0,1.03,126.0,107.0,123.0,193.0,21.0,39.87,7.0,3.69,6.38,31.27
icr023354,True,0.048,0.1,2.9904399610000003,1103.0,0.16,291.0,0.88,94.0,166.0,126.0,164.0,16.0,17.2,7.0,2.49,6.27,94.05
icr023373,True,0.103,0.15,9.674825728,941.0,0.27,1416.0,1.07,283.0,153.0,254.0,111.0,24.0,126.0,8.0,3.5,6.58,62.77
icr023374,True,0.058,0.1,6.771909704,992.0,0.17,844.0,1.33,158.0,117.0,261.0,64.0,22.0,23.91,8.0,2.45,6.27,97.8
icr023393,True,0.053,0.15,4.043459661,1189.0,0.24,424.0,1.15,96.0,107.0,187.0,139.0,24.0,8.78,7.0,3.89,6.26,113.53
icr023394,True,0.042,0.05,3.431757414,1310.0,0.29,325.0,0.8,66.0,176.0,151.0,109.0,25.0,2.94,8.0,1.85,5.66,158.52
icr023414,True,0.052000000000000005,0.15,6.118749657,1365.0,0.13,703.0,3.4,128.0,257.0,225.0,171.0,20.0,93.67,7.0,2.72,5.57,202.31
icr023433,True,0.026,0.3,2.812578047,405.0,0.09,376.0,0.68,43.0,66.0,84.0,65.0,16.0,7.39,4.0,1.56,6.41,9.71
icr023434,True,0.022,0.1,2.303579929,420.0,0.12,294.0,0.78,45.0,71.0,71.0,64.0,15.0,5.41,4.0,1.99,6.38,14.17
icr023454,True,0.034,0.1,10.31561201,653.0,0.14,884.0,1.08,90.0,90.0,665.0,39.0,39.0,7.89,6.0,1.71,6.24,26.47
icr023473,True,0.05,0.1,2.137874596,435.0,0.15,247.0,0.45,40.0,85.0,74.0,183.0,17.0,7.64,6.0,2.28,6.19,5.75
icr023474,True,0.038,0.1,1.820367039,393.0,0.14,207.0,0.35,35.0,78.0,63.0,109.0,15.0,5.08,5.0,1.79,6.07,12.1
icr023493,True,0.075,0.15,3.769702289,475.0,0.3,487.0,0.7,39.0,112.0,120.0,131.0,13.0,13.31,7.0,3.88,6.73,3.46
icr023494,True,0.051,0.15,2.52544292,587.0,0.28,266.0,0.46,46.0,188.0,77.0,75.0,18.0,6.91,7.0,1.63,6.02,21.25
icr023513,True,0.083,0.2,5.08281425,264.0,0.22,855.0,0.59,72.0,48.0,75.0,20.0,15.0,16.73,4.0,1.58,7.96,-1.07
icr023514,True,0.108,0.2,8.407990002,260.0,0.44,1473.0,0.66,65.0,59.0,99.0,25.0,17.0,28.49,5.0,2.12,8.05,4.41
icr023534,True,0.024,0.05,1.99196709,272.0,0.1,261.0,0.29,36.0,30.0,67.0,57.0,13.0,7.02,3.0,1.43,6.45,-9.86
icr023553,True,0.052000000000000005,0.15,2.95881518,405.0,0.26,351.0,0.46,37.0,86.0,108.0,132.0,21.0,8.75,5.0,2.04,6.36,13.31
icr023554,True,0.023,0.1,2.849140158,644.0,0.22,354.0,0.59,65.0,99.0,81.0,174.0,36.0,7.2,7.0,1.93,6.16,20.7
icr023573,True,0.058,0.05,6.298476676,541.0,0.36,1006.0,1.12,84.0,89.0,117.0,261.0,17.0,13.79,6.0,1.39,7.19,13.46
icr023574,True,0.046,0.1,5.404639619,593.0,0.29,851.0,1.17,91.0,99.0,99.0,249.0,18.0,5.0,5.0,1.61,6.99,18.82
icr023613,True,0.033,0.1,4.696174146000001,399.0,0.15,729.0,0.78,62.0,69.0,99.0,70.0,13.0,7.68,4.0,1.73,6.47,19.56
icr023614,True,0.039,0.1,4.571101435,469.0,0.23,716.0,0.76,68.0,53.0,93.0,68.0,20.0,5.45,5.0,1.03,6.69,19.78
icr023633,True,0.037000000000000005,0.1,7.559663398,523.0,0.38,1177.0,1.49,70.0,107.0,159.0,132.0,20.0,6.01,7.0,1.73,6.78,22.83
icr023634,True,0.039,0.1,10.98186785,717.0,0.45,1730.0,2.37,75.0,141.0,228.0,166.0,20.0,4.76,8.0,1.96,6.9,28.42
icr023652,True,0.066,0.1,9.880774343999999,729.0,0.45,1453.0,0.73,166.0,85.0,276.0,58.0,27.0,24.73,8.0,3.06,6.25,30.73
icr023653,True,0.042,0.25,6.375133478,685.0,0.31,828.0,0.62,174.0,44.0,240.0,27.0,32.0,9.45,7.0,1.22,5.73,35.98
icr023672,True,0.126,0.15,6.288376699,558.0,0.5,918.0,0.98,65.0,186.0,139.0,162.0,17.0,38.48,6.0,2.58,7.44,7.82
icr023673,True,0.064,0.1,4.519699964,676.0,0.44,635.0,0.9,70.0,187.0,98.0,159.0,13.0,7.4,6.0,0.82,7.22,23.93
icr023692,True,0.058,0.1,5.154347826,642.0,0.45,750.0,0.8,57.0,136.0,121.0,178.0,13.0,8.65,8.0,1.19,6.53,13.87
icr023693,True,0.045,0.1,3.644053391,770.0,0.48,482.0,0.75,61.0,140.0,96.0,161.0,19.0,6.17,8.0,0.9,6.41,24.17
icr023712,True,0.075,1.2,3.937360656,1719.0,0.36,574.0,0.49,129.0,100.0,84.0,7.0,27.0,35.75,20.0,3.75,5.08,189.89
icr023713,True,0.063,0.9,2.6441614,1753.0,0.23,364.0,0.27,109.0,93.0,62.0,4.0,17.0,28.44,20.0,0.98,5.21,175.38
icr023731,True,0.08900000000000001,0.2,3.1841329710000004,388.0,0.19,453.0,0.52,119.0,65.0,79.0,17.0,23.0,7.69,5.0,0.82,6.88,15.95
icr023732,True,0.033,0.2,2.244040709,381.0,0.17,302.0,0.42,128.0,53.0,64.0,9.0,16.0,3.87,4.0,0.73,5.96,17.54
icr024868,True,0.059,0.1,3.120075564,596.0,0.16,369.0,0.59,67.0,121.0,110.0,63.0,13.0,9.36,6.0,2.59,6.24,2.18
icr024869,True,0.018000000000000002,0.1,2.342758978,693.0,0.09,214.0,0.48,62.0,107.0,113.0,53.0,15.0,4.59,4.0,1.82,6.24,12.31
icr024879,True,0.04,0.05,4.14580996,711.0,0.09,513.0,1.02,60.0,130.0,140.0,129.0,21.0,3.92,5.0,2.38,6.42,9.83
icr024880,True,0.029,0.1,4.703482805,971.0,0.1,525.0,1.3,62.0,137.0,197.0,111.0,23.0,2.01,4.0,1.64,6.37,43.33
icr024899,True,0.052000000000000005,0.1,4.167099195,554.0,0.13,546.0,0.41,54.0,116.0,118.0,83.0,38.0,8.18,5.0,1.75,6.12,6.04
icr024900,True,0.038,0.05,2.789316755,644.0,0.07,343.0,0.36,49.0,92.0,91.0,66.0,20.0,6.28,4.0,1.77,5.93,9.3
icr024917,True,0.06,0.15,2.508051933,352.0,0.05,259.0,0.42,113.0,75.0,102.0,18.0,41.0,4.92,3.0,2.56,5.67,7.98
icr024918,True,0.017,0.05,1.642888546,339.0,0.01,140.0,0.34,97.0,43.0,85.0,11.0,30.0,2.42,2.0,2.94,6.02,0.45
icr024937,True,0.035,0.05,3.466791444,396.0,0.07,414.0,0.47,75.0,72.0,132.0,49.0,28.0,6.99,4.0,2.42,6.1,-0.66
icr024956,True,0.064,0.1,3.892922788,675.0,0.14,474.0,0.91,56.0,130.0,123.0,148.0,40.0,5.98,6.0,2.23,6.16,16.41
icr024957,True,0.033,0.2,2.499068821,989.0,0.08,179.0,0.63,66.0,109.0,143.0,100.0,33.0,3.22,7.0,2.79,5.34,30.98
icr024976,True,0.056,0.05,3.5512708460000004,457.0,0.25,485.0,0.81,45.0,80.0,101.0,78.0,20.0,14.39,4.0,1.13,6.21,-5.94
icr024977,True,0.032,0.05,1.960832153,471.0,0.04,206.0,0.62,43.0,57.0,75.0,39.0,38.0,8.18,4.0,1.13,5.74,3.94
icr024994,True,0.033,0.1,3.0688639010000003,766.0,0.09,324.0,0.74,52.0,124.0,118.0,112.0,36.0,6.2,6.0,2.6,6.16,14.92
icr024995,True,0.03,0.2,2.179476866,774.0,0.06,126.0,0.5,43.0,130.0,132.0,57.0,29.0,2.43,4.0,2.04,5.67,40.92
icr025009,True,0.043,0.1,2.113324914,458.0,0.01,233.0,0.44,127.0,56.0,89.0,53.0,16.0,6.77,4.0,1.88,5.56,27.76
icr025016,True,0.042,0.2,5.336560842,495.0,0.04,566.0,0.65,153.0,94.0,260.0,23.0,27.0,6.99,6.0,1.11,5.33,22.22
icr025017,True,0.019,1.96,2.984010801,613.0,0.01,277.0,0.67,164.0,31.0,166.0,6.0,34.0,2.7,4.0,0.49,5.09,66.69
icr025036,True,0.03,0.1,3.902104056,407.0,0.06,559.0,0.67,61.0,72.0,98.0,132.0,26.0,8.63,4.0,2.95,6.06,5.63
icr025037,True,0.035,0.05,2.293865274,408.0,0.03,312.0,0.7,50.0,48.0,65.0,96.0,17.0,4.55,3.0,0.87,6.12,2.59
icr025055,True,0.053,0.05,3.241417535,383.0,0.08,451.0,0.32,54.0,68.0,92.0,113.0,12.0,7.84,3.0,1.05,6.38,-6.06
icr025056,True,0.019,0.05,1.613311386,416.0,0.01,165.0,0.22,44.0,55.0,71.0,70.0,14.0,3.36,3.0,1.91,6.2,0.62
icr025074,True,0.05,0.1,4.589316121,583.0,0.12,537.0,0.99,72.0,165.0,162.0,194.0,33.0,8.27,6.0,3.37,6.56,10.82
icr025075,True,0.019,0.1,2.58796263,763.0,0.1,160.0,0.81,62.0,153.0,159.0,130.0,19.0,3.91,5.0,0.75,6.12,31.02
icr025092,True,0.038,0.2,3.020545116,400.0,0.06,362.0,0.38,58.0,99.0,109.0,67.0,13.0,7.73,4.0,2.25,6.43,7.19
icr025093,True,0.015,0.1,2.196998584,455.0,0.11,220.0,0.2,62.0,82.0,90.0,46.0,33.0,3.44,4.0,0.94,6.09,6.41
icr025111,True,0.024,0.1,5.347943502,525.0,0.11,741.0,0.47,68.0,131.0,143.0,71.0,29.0,8.88,5.0,2.74,6.82,6.08
icr025112,True,0.014,0.05,3.712207309,620.0,0.03,408.0,0.37,62.0,71.0,173.0,51.0,14.0,3.51,3.0,2.33,6.31,25.59
icr025135,True,0.047,0.05,5.5363579289999985,461.0,0.09,866.0,0.43,55.0,96.0,111.0,127.0,10.0,9.95,5.0,1.03,6.5,-5.57
icr030024,True,0.298,0.388,27.21701285,1287.0,0.318,3818.98,2.7960000000000003,99.78,456.34,821.18,194.0,38.73,14.42,12.058,1.025,5.819,36.956
icr030025,True,0.175,0.194,16.37806083,1773.0,0.107,2275.98,1.88,70.79,191.34,522.78,123.7,43.31,1.955,8.283,0.266,5.53,25.427
icr030043,True,0.218,0.097,35.64957365,994.9,0.522,5333.98,1.729,87.97,785.84,827.78,202.0,29.6,68.39,14.228,2.2030000000000003,6.5,40.767
icr030044,True,0.083,0.194,18.55018137,1705.0,0.192,2725.98,2.041,67.64,259.14,492.98,105.9,42.16,8.191,12.998,0.636,5.441,30.117
icr030063,True,0.408,0.097,55.85330361,704.2,1.027,8755.98,1.996,204.7,986.24,1136.98,136.3,35.54,221.8,20.178,10.76,7.372999999999997,58.285
icr030064,True,0.179,0.097,40.21023242,865.8,0.6729999999999999,6085.98,2.873,243.9,477.14,1008.98,134.4,50.91,110.1,20.268,5.9270000000000005,6.69,44.44300000000001
icr030083,True,0.256,0.146,35.31317755,970.1,0.463,5434.98,1.889,73.26,428.14,828.58,236.5,44.97,12.5,15.548,1.993,6.432,40.88800000000001
icr030084,True,0.11,0.049,21.85393915,1447.0,0.242,3399.98,2.093,69.32,142.74,523.08,122.6,38.18,3.228,11.818,0.459,5.815,29.711
icr030103,True,0.116,0.097,14.68648012,1045.0,0.173,2053.98,1.38,103.4,270.44,422.38,56.38,53.86,32.41,10.318,0.7909999999999999,6.384,17.164
icr030104,True,0.053,0.097,7.796177313999999,1030.0,0.084,999.98,0.926,86.87,150.04,269.78,37.85,42.08,15.68,6.777,0.569,6.349,9.175
icr030123,True,0.24,0.194,11.13748986,1066.0,0.266,1564.98,1.324,107.9,300.14,279.18,135.1,54.67,15.52,11.398,1.15,6.312,13.191
icr030124,True,0.107,0.29100000000000004,6.706848289,1414.0,0.093,908.48,1.08,107.0,145.44,179.28,119.6,71.49,4.314,11.698,0.652,5.706,9.574
icr030143,True,0.145,0.097,21.5144482,1189.0,0.402,3232.98,1.228,159.5,210.44,563.68,246.8,35.15,22.45,9.598,1.128,5.831,29.052
icr030144,True,0.067,0.194,18.27343495,1417.0,0.141,2703.98,1.349,110.8,129.64,510.88,136.5,45.96,2.5340000000000003,8.234,0.579,5.721,25.908
icr030163,True,0.073,0.097,38.75595629,850.5,0.217,5798.98,2.736,338.6,263.14,1055.98,79.8,83.02,48.01,10.358,1.147,5.8260000000000005,52.451
icr030183,True,0.058,0.097,13.33337372,1125.0,0.245,1904.98,3.459,115.1,188.04,381.38,120.8,40.4,7.713999999999999,8.04,0.482,6.331,15.738
icr030184,True,0.085,0.146,14.82496003,1140.0,0.391,2082.98,3.847,113.1,213.24,431.38,133.0,68.9,6.754,10.208,0.902,6.534,16.854
icr030200,True,0.097,0.243,18.66485591,1752.0,0.161,2693.98,1.9,43.07,123.04,570.38,95.92,38.27,2.582,11.918,0.395,5.489,29.574
icr030201,True,0.204,0.194,32.64169502,1123.0,0.402,4774.98,1.977,59.79,301.44,947.68,179.2,37.67,12.96,15.938,1.005,6.188,39.595
icr030218,True,0.116,0.097,17.46599968,1109.0,0.29,2497.98,2.379,92.73,288.74,488.68,138.6,45.76,8.429,9.958,0.581,5.9460000000000015,22.475
icr030219,True,0.078,0.485,12.1610985,1523.0,0.064,1741.98,2.419,92.24,134.04,346.78,91.96,55.76,1.3030000000000002,8.261000000000001,0.469,5.193,22.66
icr030238,True,0.201,0.097,32.78308364,1032.0,0.6829999999999999,5193.98,2.922,68.51,272.74,719.88,286.9,38.23,13.57,12.648,1.335,6.282,39.037
icr030258,True,0.052000000000000005,0.097,8.359378176,1099.0,0.132,1087.98,0.846,103.3,150.04,289.38,74.62,33.16,8.6,8.426,0.4370000000000001,6.2879999999999985,9.952
icr030259,True,0.041,0.097,6.6120267460000015,957.5,0.111,860.08,0.564,107.2,117.54,218.98,58.18,46.29,8.437999999999999,8.382,0.518,6.377000000000002,7.74
icr030276,True,0.047,0.194,18.33959963,1426.0,0.275,2573.98,3.891,121.0,136.74,585.18,87.09,65.27,3.143,9.468,0.933,6.279,21.865
icr030277,True,0.032,0.097,14.90279776,1465.0,0.105,2083.98,2.89,98.99,86.67,486.58,48.07,55.18,1.061,6.904,0.381,6.2410000000000005,17.898
icr030296,True,0.217,0.097,24.41856805,843.1,0.642,3734.98,3.214,164.9,356.84,563.58,194.1,39.87,91.31,10.578,1.834,6.2860000000000005,29.058000000000003
icr030297,True,0.092,0.097,18.80753351,1079.0,0.368,2867.98,4.102,178.7,228.54,445.78,180.0,45.77,37.35,9.448,1.491,6.146,22.993
icr030316,True,0.07400000000000001,0.194,11.34399201,895.7,0.223,1651.98,3.33,261.1,172.44,295.08,160.1,47.01,17.13,8.542,1.616,6.688,12.543
icr030317,True,0.069,0.097,9.327459426,948.5,0.163,1323.98,2.005,125.1,176.34,226.58,39.05,88.32,14.41,8.734,1.64,6.483,10.7
icr005998,True,0.205,0.18,10.51361216,730.7,0.5476,1344.0,1.515,174.5,240.7,366.1,124.2,35.05,17.27,11.0,1.6669999999999998,7.548999999999999,13.61345928
icr005999,True,0.136,0.09,9.237656465,787.3,0.2145,1014.0,1.369,148.2,159.4,431.1,85.84,45.35,13.88,10.09,2.303,6.959,9.016533346000001
icr011037,True,0.121,0.6579999999999999,32.49613134,670.0,0.493,4800.0,4.3,101.0,126.0,959.0,245.0,57.1,5.33,9.81,4.11,7.12,76.5
icr011038,True,0.099,0.376,29.49856862,819.0,0.445,4240.0,4.56,126.0,79.7,954.0,272.0,48.4,2.41,7.76,3.17,7.12,64.2
icr011067,True,0.048,0.94,17.31223204,1190.0,0.141,2260.0,2.19,80.1,74.9,671.0,88.2,63.3,1.01,7.42,1.6,6.52,118.0
icr011068,True,0.036000000000000004,0.752,17.71369259,1260.0,0.098,2320.0,2.05,77.1,52.5,686.0,99.3,71.3,0.272,6.31,1.5,6.39,161.0
icr011077,True,0.105,0.6579999999999999,12.28973917,811.0,0.191,1850.0,4.49,157.0,77.3,326.0,217.0,34.0,4.95,4.63,3.77,6.5,39.4
icr011078,True,0.056,0.846,8.189372238999999,898.0,0.084,1190.0,4.53,142.0,45.5,231.0,195.0,49.2,1.23,4.84,1.84,6.22,80.4
icr011097,True,0.107,0.47,3.104713809,342.0,0.07400000000000001,425.0,0.319,61.1,71.6,68.4,72.9,53.2,3.61,4.64,1.42,6.44,-11.4
icr011098,True,0.068,0.752,2.356763332,425.0,0.028,320.0,0.546,59.5,44.9,53.0,48.1,46.9,1.62,4.15,1.88,6.5,-7.46
icr011111,True,0.113,0.564,17.23476042,816.0,0.281,2470.0,2.9,136.0,69.6,549.0,210.0,39.0,2.49,5.46,3.9,6.88,44.6
icr011112,True,0.056,0.6579999999999999,11.04981696,863.0,0.129,1540.0,1.88,158.0,43.1,369.0,316.0,43.7,0.516,4.82,2.08,6.58,98.3
icr011133,True,0.054000000000000006,0.564,14.80607279,802.0,0.266,1980.0,3.5,129.0,89.0,537.0,317.0,55.3,1.22,4.54,2.48,6.63,81.4
icr011134,True,0.029,0.846,10.12463021,989.0,0.091,1290.0,2.45,113.0,40.0,406.0,291.0,49.9,0.24,5.95,2.27,6.41,165.0
icr011144,True,0.142,0.376,18.21196656,917.0,0.505,2980.0,4.74,88.8,105.0,348.0,261.0,38.5,5.14,6.1,1.97,7.41,62.4
icr011145,True,0.127,0.564,14.19831456,939.0,0.436,2430.0,4.68,92.3,72.5,200.0,246.0,48.3,4.16,5.36,1.53,7.69,79.0
icr011164,True,0.037000000000000005,0.94,3.26953235,1310.0,0.016,457.0,1.04,188.0,51.2,78.4,20.7,47.3,5.84,8.81,1.87,5.77,101.0
icr011165,True,0.027000000000000003,1.32,1.297296929,1390.0,0.02,157.0,0.911,186.0,29.6,32.1,3.26,39.4,2.76,7.54,1.33,5.61,147.0
icr011182,True,0.05,0.47,3.954476549,840.0,0.102,530.0,1.05,96.0,73.0,107.0,41.8,53.7,1.83,4.32,2.03,6.83,50.0
icr011183,True,0.041,0.564,3.782597493,682.0,0.052000000000000005,478.0,1.01,131.0,77.0,125.0,77.9,37.4,2.94,4.76,2.63,6.35,15.9
icr011203,True,0.023,0.752,3.343981844,798.0,0.017,453.0,0.612,81.6,50.8,88.9,61.8,49.3,0.485,4.29,1.5,6.23,96.2
icr011222,True,0.115,0.564,7.829488914,435.0,0.21,1300.0,1.64,187.0,86.0,114.0,81.6,38.5,45.9,5.38,5.63,6.98,-2.17
icr011223,True,0.046,0.6579999999999999,3.964199235,643.0,0.052000000000000005,548.0,1.44,128.0,76.3,101.0,97.2,44.7,2.69,3.38,2.78,6.77,54.7
icr011241,True,0.116,0.47,10.35725434,881.0,0.398,1630.0,2.12,114.0,111.0,211.0,310.0,41.3,9.83,6.25,3.26,6.92,57.4
icr011242,True,0.055,0.47,5.4136008539999985,835.0,0.068,784.0,1.42,93.6,47.1,148.0,210.0,34.5,0.772,5.31,2.02,6.35,119.0
icr011263,True,0.081,0.752,10.68112807,1120.0,0.013,1510.0,3.07,456.0,132.0,257.0,42.0,154.0,10.9,6.37,2.1,6.03,71.3
icr011264,True,0.07400000000000001,0.6579999999999999,12.49654943,768.0,0.02,1630.0,2.31,176.0,116.0,328.0,92.4,308.0,2.81,4.21,1.65,6.98,83.3
icr011282,True,0.031,0.94,3.767259622,657.0,0.027000000000000003,524.0,0.913,59.7,63.1,99.3,56.4,38.0,1.11,3.61,1.86,6.46,57.5
icr011301,True,0.101,1.03,3.48012904,339.0,0.122,517.0,0.51,54.6,60.3,71.5,66.6,34.5,3.79,5.14,2.23,6.75,8.81
icr011302,True,0.068,0.752,3.290284078,487.0,0.078,466.0,0.674,52.1,55.0,75.5,52.3,45.0,1.22,4.33,1.13,7.12,29.5
icr011321,True,0.069,0.564,6.502296295,986.0,0.092,880.0,2.47,97.3,77.1,212.0,169.0,35.2,4.1,6.7,1.62,6.19,71.9
icr011322,True,0.033,0.6579999999999999,2.868470863,1260.0,0.028,401.0,1.62,81.9,31.7,74.1,65.8,39.1,1.37,5.67,1.27,5.81,144.0
icr014408,True,0.106,0.873,9.598153622,1193.0,0.2201,1396.0,1.511,478.4,126.0,263.4,351.5,27.38,7.7970000000000015,8.86,2.827,5.973,114.1859783
icr014409,True,0.055,1.5519999999999998,4.89260264,1330.0,0.1513,642.1,1.134,477.0,78.86,163.8,339.6,29.14,0.8740000000000001,7.126,1.736,5.425,88.17677345
icr014428,True,0.051,2.91,1.24900856,1675.0,0.0429,155.0,0.6522,142.4,37.9,34.91,8.661,20.37,15.6,14.89,1.345,4.737,107.0744684
icr014429,True,0.049,3.007,1.106782725,1668.0,0.01,145.9,0.6889,119.5,25.66,27.72,4.41,18.99,7.942,21.44,0.795,4.6560000000000015,119.4991533
icr014448,True,0.071,1.358,5.417993691,1945.0,0.0662,567.1,2.422,431.5,242.7,228.5,70.16,16.87,41.24,7.26,4.543,5.815,198.8776125
icr014449,True,0.044,2.134,3.631803967,1649.0,0.0483,380.5,4.662,369.9,122.0,151.5,46.27,38.0,39.57,7.285,3.335,5.572,98.8209683
icr014468,True,0.06,3.201,1.31610654,1539.0,0.0897,123.7,0.6013,131.7,94.86,47.8,93.39,13.79,16.92,10.87,1.399,5.2620000000000005,74.44181007
icr014469,True,0.025,1.649,1.088317622,1714.0,0.0785,119.4,0.5762,118.2,56.72,33.09,77.76,16.74,8.115,9.542,0.857,5.751,92.38908103
icr014488,True,0.081,1.649,11.74022052,1700.0,0.0883,1461.0,2.6010000000000004,415.0,125.5,468.5,103.6,55.74,4.9860000000000015,12.63,1.1909999999999998,5.7410000000000005,184.1163789
icr014489,True,0.069,0.29100000000000004,10.67033506,1657.0,0.0426,1211.0,2.803,225.6,53.01,513.9,125.8,53.51,1.293,8.226,1.233,5.96,160.2453629
icr014508,True,0.065,1.843,7.283616104,1914.0,0.0526,906.3,2.349,326.6,126.6,273.6,103.5,38.45,6.277,7.688,2.049,5.384,180.907141
icr014509,True,0.048,1.94,5.47594142,1621.0,0.0116,501.3,2.136,123.2,101.8,313.6,59.74,26.99,0.6579999999999999,4.652,1.135,5.311,179.9233477
icr014528,True,0.046,1.649,6.794103316,1569.0,0.0371,903.4,2.224,357.9,81.63,237.3,112.7,24.65,6.676,6.322,1.506,5.461,138.12546819999997
icr014529,True,0.041,1.843,5.829532794,1788.0,0.0427,785.4,2.259,249.9,41.41,198.1,131.2,36.67,1.745,4.936,0.919,5.4270000000000005,170.56220290000005
icr014548,True,0.05,0.873,10.39115121,1322.0,0.1323,1456.0,2.315,477.2,151.8,315.4,180.5,26.75,60.43,8.122,3.585,6.035,74.22573092
icr014549,True,0.045,0.97,8.845006996,1304.0,0.1077,1250.0,2.21,378.5,74.26,277.4,244.7,25.88,19.18,5.86,2.075,5.942,87.87496043
icr014568,True,0.038,2.45,4.359430555,1706.0,0.027000000000000003,381.0,0.9497,95.75,231.1,215.2,43.31,19.52,10.21,6.678,1.379,5.5820000000000025,157.679504
icr014569,True,0.033,4.214,3.231646974,1821.0,0.0145,288.2,0.9387,69.36,112.4,170.8,28.53,21.07,2.143,5.268,2.129,5.295,201.1755684
icr014588,True,0.036000000000000004,2.254,2.572651466,1703.0,0.0354,277.7,0.7953,154.4,93.7,105.5,80.25,16.7,3.374,6.532,1.141,5.234,118.1453897
icr014589,True,0.031,1.067,3.658030226,1442.0,0.0609,428.6,0.8208,126.2,158.9,128.7,73.8,10.35,13.45,6.6560000000000015,1.587,5.881,75.86892874
icr014608,True,0.076,2.522,1.488514711,1903.0,0.0955,151.7,0.7232,105.9,97.52,49.22,38.84,16.98,12.72,15.59,0.8690000000000001,5.025,142.6173959
icr014609,True,0.083,2.522,1.441003815,1991.0,0.0728,165.5,0.6294,64.94,51.12,42.7,29.37,29.87,5.388,9.537,0.578,4.691,163.25139140000005
icr014628,True,0.057,0.97,5.499088394,1553.0,0.1387,722.8,0.7559999999999999,77.65,180.2,157.7,95.7,27.81,4.735,7.459,1.206,6.489,70.51530551
icr014648,True,0.046,2.619,1.203472395,2067.0,0.0949,117.9,0.5124,75.37,98.44,34.81,42.03,17.14,6.025,12.62,0.861,5.141,162.43888930000003
icr014649,True,0.038,3.298,1.110484443,1986.0,0.0438,119.3,0.2938,52.74,67.87,31.33,25.8,18.74,2.003,21.83,0.519,4.918,184.7604543
icr014668,True,0.054000000000000006,1.358,4.2775343260000005,1375.0,0.1088,463.9,0.7763,157.7,197.4,169.7,105.0,11.66,4.378,6.568,1.474,5.9110000000000005,92.30124674
icr014669,True,0.035,1.649,3.282477278,1529.0,0.0478,328.3,0.6522,74.96,122.5,152.4,54.47,15.68,1.11,5.695,1.412,5.691,112.21264
icr014688,True,0.248,0.873,5.125561032,1257.0,0.0811,559.0,0.9451,74.89,235.3,166.1,85.02,81.89,5.078,17.56,1.959,6.516,75.86892874
icr014689,True,0.118,0.97,4.363860022,1348.0,0.0573,437.7,0.7665,76.03,167.9,179.2,78.84,60.94,1.072,9.683,1.356,6.3210000000000015,106.1836759
icr014708,True,0.05,0.97,3.531469806,1464.0,0.1657,365.8,1.173,83.16,103.5,164.2,142.3,18.57,3.391,6.745,1.511,5.947,81.07328959
icr023593,True,0.04,0.05,8.446209972,534.0,0.27,1368.0,2.28,73.0,135.0,141.0,199.0,22.0,10.96,6.0,1.46,6.8,25.65
icr023594,True,0.037000000000000005,0.1,8.193075395,645.0,0.25,1338.0,2.69,75.0,111.0,137.0,184.0,20.0,6.22,5.0,2.65,6.83,36.57
icr030335,True,0.319,0.194,97.86363994,306.7,1.5019999999999998,18510.0,3.228,22.63,615.0,426.5,173.6,49.67,8.971,26.16,1.413,7.999,144.6
icr030336,True,0.275,0.194,108.0672466,373.1,1.077,20360.0,5.865,90.45,395.6,593.9,199.0,79.86,4.31,32.53,1.161,8.103,187.2
icr030352,True,0.228,0.29100000000000004,106.3126534,134.9,1.376,20560.0,1.941,14.96,192.3,329.9,46.74,67.71,4.592,29.37,0.657,8.246,165.1
icr030353,True,0.193,0.194,153.3709985,41.45,0.308,29960.0,0.992,7.46,111.4,363.3,27.62,65.23,1.706,32.65,0.721,8.328,225.9
icr030367,True,0.203,0.194,107.873735,35.57,0.933,20710.0,1.215,59.0,112.4,449.4,127.6,74.11,2.574,34.1,1.1740000000000002,8.367,102.5
icr030368,True,0.165,0.194,170.7347211,12.16,0.225,33130.0,0.465,18.89,55.36,558.0,68.73,76.26,0.5539999999999999,28.06,0.467,8.516,103.8
icr030376,True,0.305,0.097,174.17513290000005,5.54,0.522,34460.0,0.162,7.519,58.93,176.5,9.986,61.12,1.152,28.94,0.503,8.205,81.51
icr030377,True,0.132,0.097,113.3496138,1.672,0.162,22300.0,0.07,8.485,37.52,182.2,8.151,57.01,0.369,22.52,0.4920000000000001,8.486,70.52
icr030387,True,0.313,0.097,109.4674478,358.4,1.227,20593.1,3.108,27.63,441.7,610.4,112.6,75.36,4.032,39.46,1.159,8.15,196.5
icr030388,True,0.339,0.194,103.955456,337.6,1.22,19083.1,3.1060000000000003,24.81,307.0,885.3,112.3,100.8,2.299,29.08,0.964,8.203,206.3
icr030400,True,0.241,0.29100000000000004,95.13438049,340.0,1.218,17913.1,3.059,25.44,376.8,514.8,126.0,80.65,3.313,31.72,0.8809999999999999,8.181000000000001,162.1
